validator_address,operator_address,commission_rate
0x3065cb429E9ABbaF0186343720fEd2991B2ee23E,0x6d8aa1E2Df507461c0AA2DF6A6cE8Af5150a165B,10
0x7d4Ea2AF4BA840432bF634206359236D7Bc02826,0xD29aa056F6b85dD0bA69572Daac0E72e9492D6BA,10
0x0D0102474519CD2fC1B3E3f962A87e39cbcbeAd2,0xE21afCEb69396CF36880c21E70730F6A0d22Fb77,10
0xBf5C6586D649f7658F46DD5966f4a6C5a070c196,0xEC43Cf80bCF1c4c37BA9f5e5e4090e208e18E7c7,10
0x4a5fe61c38C250F4aEc8fd1b2429Ef403B53c209,0xd673bb463992A8948162e8dAC0428B2Acc1a12Ef,10
0xa8fdb142F13eB3EFbeD561e9A347409333DE4BFe,0x69B8EB878aA152d9E74a81ac8b657254D26a7E37,10
0xb0568B8Fd77EA2Ea12Fbe307369b0ca9e4eaD05e,0x801e539dEDA95Deb710755FB0770DABC79217f2e,10
0xCB9f0c1837EDae42Df9e35cA436B4A4543CCf799,0x7E73201fCe447e844DeaaE92353CcDd054EfF8F4,10
0xb4a4C6f5f48dC0C7F572bFeFb83C7B0d82fd6D84,0xB574Fb07E22E95db3552feb1ad16AE5A62aA0023,10
0xfAae07bac050bee1Efc1A589Be6629c3775f3272,0x4D700F1C089e66d4356FBF2167E19ea847168628,0
0x7a1320FB87A2DC6185B148182Ae1248D90C33139,0x30964c4f05B5CA2f5f0fA54964695e2dD4AC0f41,0
0x75Ce9d9C53f08B96D88f8FD6494d0B664be16878,0xb1398c4D958B97c181Df60148678f04eCEc62c69,0
0x92668bA72601aAe3FEf3A7aAe425489780ECDce2,0x67aCcf90FB08d79e8f67B48479d7eA424D94B64e,0
0x6c7C332a090c8D2085857cf3220eA01C6d45a723,0x427bCF00cA082559fcE1835A8d4EE456e57427AF,0
0xBdA128c3DB1d7fFa1C4432569FB4778f54678beE,0x57e886e8d8362E394760100864E9251F523ddB20,0
0xa312F7156A2F4290D53e5694afE44e9cC7f1B811,0xFb702654C5667aD7555d80a5Bb3aaf6471846ce7,0
0x2e1860c48B3919229948c6dB06D482c119DddaB7,,10
0xF8f3D4E414DF00B6126634DfC57E2df98e81eABE,,10
0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,,10
